"","issn","tilte","code","area"
"1890","0956-7976","Psychological Science","3200","Psychology (all)"
"1891","0959-3535","Feminism and Psychology","3318","Gender Studies"
"1892","0959-3535","Feminism and Psychology","1201","Arts and Humanities (miscellaneous)"
"1893","0959-3535","Feminism and Psychology","3200","Psychology (all)"
"1894","0965-4313","European Planning Studies","3305","Geography, Planning and Development"
"1895","0965-8564","Transportation Research, Part A: Policy and Practice","2205","Civil and Structural Engineering"
"1896","0965-8564","Transportation Research, Part A: Policy and Practice","1401","Business, Management and Accounting (miscellaneous)"
"1897","0965-8564","Transportation Research, Part A: Policy and Practice","3313","Transportation"
"1898","0965-8564","Transportation Research, Part A: Policy and Practice","2202","Aerospace Engineering"
"1899","0965-8564","Transportation Research, Part A: Policy and Practice","1803","Management Science and Operations Research"
"1900","1040-6026","Environmental Claims Journal","2308","Management, Monitoring, Policy and Law"
"1901","1049-2585","Research on Economic Inequality","3312","Sociology and Political Science"
"1902","1049-2585","Research on Economic Inequality","1407","Organizational Behavior and Human Resource Management"
"1903","1050-9585","European Romantic Review","3316","Cultural Studies"
"1904","1050-9585","European Romantic Review","1208","Literature and Literary Theory"
"1905","1060-586X","Post-Soviet Affairs","3312","Sociology and Political Science"
"1906","1060-586X","Post-Soviet Affairs","2002","Economics and Econometrics"
"1907","1060-586X","Post-Soviet Affairs","3320","Political Science and International Relations"
"1908","1210-9126","Casopis pro Pravni Vedu a Praxi","3308","Law"
"1909","1350-5084","Organization","1400","Business, Management and Accounting (all)"
"1910","1350-5084","Organization","1408","Strategy and Management"
"1911","1350-5084","Organization","1405","Management of Technology and Innovation"
"1912","1350-7486","European Review of History/Revue Europeenne d'Histoire","1202","History"
"1913","1614-0311",NA,NA,NA
"1914","1697-6797",NA,NA,NA
"1915","1741-6590","Crime, Media, Culture","3316","Cultural Studies"
"1916","1741-6590","Crime, Media, Culture","3315","Communication"
"1917","1741-6590","Crime, Media, Culture","1201","Arts and Humanities (miscellaneous)"
"1918","1741-6590","Crime, Media, Culture","3308","Law"
"1919","1752-1483","Law and Humanities","1201","Arts and Humanities (miscellaneous)"
"1920","1752-1483","Law and Humanities","3308","Law"
"1921","1756-1450","International Journal of Law in the Built Environment","3322","Urban Studies"
"1922","1756-1450","International Journal of Law in the Built Environment","2308","Management, Monitoring, Policy and Law"
"1923","1756-1450","International Journal of Law in the Built Environment","3308","Law"
"1924","1756-8757","Topics in Cognitive Science","3205","Experimental and Cognitive Psychology"
"1925","1756-8757","Topics in Cognitive Science","3310","Linguistics and Language"
"1926","1756-8757","Topics in Cognitive Science","1709","Human-Computer Interaction"
"1927","1756-8757","Topics in Cognitive Science","2805","Cognitive Neuroscience"
"1928","1756-8757","Topics in Cognitive Science","1702","Artificial Intelligence"
"1929","1794-5887","Co-herencia","1213","Visual Arts and Performing Arts"
"1930","1794-5887","Co-herencia","1202","History"
"1931","1794-5887","Co-herencia","1211","Philosophy"
"1932","1794-5887","Co-herencia","3312","Sociology and Political Science"
"1933","1794-5887","Co-herencia","1210","Music"
"1934","1794-5887","Co-herencia","1208","Literature and Literary Theory"
"1935","1807-3883",NA,NA,NA
"1936","1863-9038","ERA Forum","3320","Political Science and International Relations"
"1937","1863-9038","ERA Forum","3308","Law"
"1938","1865-2646","Zeitschrift fur Vergleichende Politikwissenschaft","3312","Sociology and Political Science"
"1939","1911-0359",NA,NA,NA
"1940","1930-2975","Judgment and Decision Making","1800","Decision Sciences (all)"
"1941","1930-2975","Judgment and Decision Making","3202","Applied Psychology"
"1942","1930-2975","Judgment and Decision Making","2002","Economics and Econometrics"
"1943","2214-594X","Comparative Migration Studies","3317","Demography"
"1944","2214-594X","Comparative Migration Studies","3305","Geography, Planning and Development"
"1945","2214-594X","Comparative Migration Studies","3312","Sociology and Political Science"
"1946","2214-594X","Comparative Migration Studies","1804","Statistics, Probability and Uncertainty"
"1947","2214-594X","Comparative Migration Studies","3308","Law"
"1948","2214-9120","Logic, Argumentation and Reasoning","3315","Communication"
"1949","2214-9120","Logic, Argumentation and Reasoning","1203","Language and Linguistics"
"1950","2214-9120","Logic, Argumentation and Reasoning","1202","History"
"1951","2214-9120","Logic, Argumentation and Reasoning","1211","Philosophy"
"1952","2214-9120","Logic, Argumentation and Reasoning","3310","Linguistics and Language"
"1953","2214-9120","Logic, Argumentation and Reasoning","2604","Applied Mathematics"
"1954","2468-0311",NA,NA,NA
"1955","2634-0488",NA,NA,NA
"1956","0002-7189","Journal of the American Academy of Religion","1212","Religious Studies"
"1957","0017-8160","Harvard Theological Review","1212","Religious Studies"
"1958","0018-1560","Higher Education","3304","Education"
"1959","0024-2594","Library Trends","3309","Library and Information Sciences"
"1960","0035-9629",NA,NA,NA
"1961","0036-9306","Scottish Journal of Theology","1212","Religious Studies"
"1962","0040-1625","Technological Forecasting and Social Change","1403","Business and International Management"
"1963","0040-1625","Technological Forecasting and Social Change","3202","Applied Psychology"
"1964","0040-1625","Technological Forecasting and Social Change","1405","Management of Technology and Innovation"
"1965","0042-3955",NA,NA,NA
"1966","0043-4078","Western Political Quarterly","2700","Medicine (all)"
"1967","0065-0668",NA,NA,NA
"1968","0080-6757","Scandinavian Political Studies","3312","Sociology and Political Science"
"1969","0090-8320","Ocean Development and International Law","3303","Development"
"1970","0090-8320","Ocean Development and International Law","3320","Political Science and International Relations"
"1971","0090-8320","Ocean Development and International Law","2308","Management, Monitoring, Policy and Law"
"1972","0090-8320","Ocean Development and International Law","3308","Law"
"1973","0097-7004","Modern China","3305","Geography, Planning and Development"
"1974","0097-7004","Modern China","1202","History"
"1975","0097-7004","Modern China","3312","Sociology and Political Science"
"1976","0142-5692","British Journal of Sociology of Education","3304","Education"
"1977","0142-5692","British Journal of Sociology of Education","3312","Sociology and Political Science"
"1978","0143-005X","Journal of Epidemiology and Community Health","2713","Epidemiology"
"1979","0143-005X","Journal of Epidemiology and Community Health","2739","Public Health, Environmental and Occupational Health"
"1980","0143-814X","Journal of Public Policy","3321","Public Administration"
"1981","0143-814X","Journal of Public Policy","2308","Management, Monitoring, Policy and Law"
"1982","0148-2963","Journal of Business Research","1406","Marketing"
"1983","0162-0436","Qualitative Sociology","3312","Sociology and Political Science"
"1984","0172-6404","Historical Social Research","1202","History"
"1985","0172-6404","Historical Social Research","3312","Sociology and Political Science"
"1986","0172-6404","Historical Social Research","3300","Social Sciences (all)"
"1987","0191-5096","Journal of Sociology and Social Welfare","3312","Sociology and Political Science"
"1988","0191-5096","Journal of Sociology and Social Welfare","3301","Social Sciences (miscellaneous)"
"1989","0195-6086","Symbolic Interaction","2900","Nursing (all)"
"1990","0195-6086","Symbolic Interaction","3207","Social Psychology"
"1991","0195-6086","Symbolic Interaction","3304","Education"
"1992","0195-6086","Symbolic Interaction","3315","Communication"
"1993","0195-6086","Symbolic Interaction","3312","Sociology and Political Science"
"1994","0195-6086","Symbolic Interaction","3300","Social Sciences (all)"
"1995","0272-4332","Risk Analysis","2213","Safety, Risk, Reliability and Quality"
"1996","0272-4332","Risk Analysis","2737","Physiology (medical)"
"1997","0309-8168","Capital and Class","1202","History"
"1998","0309-8168","Capital and Class","3312","Sociology and Political Science"
"1999","0309-8168","Capital and Class","2002","Economics and Econometrics"
"2000","0340-0425","Leviathan (Germany)","1203","Language and Linguistics"
"2001","0340-0425","Leviathan (Germany)","3312","Sociology and Political Science"
"2002","0340-0425","Leviathan (Germany)","3310","Linguistics and Language"
"2003","0340-0425","Leviathan (Germany)","3320","Political Science and International Relations"
"2004","0801-1745",NA,NA,NA
"2005","0883-0355","International Journal of Educational Research","3304","Education"
"2006","0924-4700",NA,NA,NA
"2007","0925-8531","Journal of Logic, Language and Information","1701","Computer Science (miscellaneous)"
"2008","0925-8531","Journal of Logic, Language and Information","1211","Philosophy"
"2009","0925-8531","Journal of Logic, Language and Information","3310","Linguistics and Language"
"2010","0936-9937","Journal of Evolutionary Economics","1400","Business, Management and Accounting (all)"
"2011","0936-9937","Journal of Evolutionary Economics","2002","Economics and Econometrics"
"2012","0943-0180",NA,NA,NA
"2013","0951-6298","Journal of Theoretical Politics","3312","Sociology and Political Science"
"2014","0956-5221","Scandinavian Journal of Management","3202","Applied Psychology"
"2015","0956-5221","Scandinavian Journal of Management","1408","Strategy and Management"
"2016","0961-754X","Common Knowledge","3316","Cultural Studies"
"2017","0961-754X","Common Knowledge","1211","Philosophy"
"2018","0961-754X","Common Knowledge","1208","Literature and Literary Theory"
"2019","0964-5691","Ocean and Coastal Management","1910","Oceanography"
"2020","0964-5691","Ocean and Coastal Management","1104","Aquatic Science"
"2021","0964-5691","Ocean and Coastal Management","2308","Management, Monitoring, Policy and Law"
"2022","0967-067X","Communist and Post-Communist Studies","3303","Development"
"2023","0967-067X","Communist and Post-Communist Studies","3312","Sociology and Political Science"
"2024","1035-7823","Asian Studies Review","3316","Cultural Studies"
"2025","1035-7823","Asian Studies Review","1202","History"
"2026","1035-7823","Asian Studies Review","3312","Sociology and Political Science"
"2027","1048-9843","Leadership Quarterly","1403","Business and International Management"
"2028","1048-9843","Leadership Quarterly","3312","Sociology and Political Science"
"2029","1048-9843","Leadership Quarterly","3202","Applied Psychology"
"2030","1048-9843","Leadership Quarterly","1407","Organizational Behavior and Human Resource Management"
"2031","1360-0826","Global Society","2306","Global and Planetary Change"
"2032","1360-0826","Global Society","3305","Geography, Planning and Development"
"2033","1364-2987","International Journal of Human Rights","3312","Sociology and Political Science"
"2034","1364-2987","International Journal of Human Rights","3308","Law"
"2035","1422-2213","Journal of World Intellectual Property","3308","Law"
"2036","1464-8849","Journalism","3315","Communication"
"2037","1464-8849","Journalism","1201","Arts and Humanities (miscellaneous)"
"2038","1472-9342","Oxford University Commonwealth Law Journal","3308","Law"
"2039","1522-7200","Journal of Environmental Policy and Planning","2308","Management, Monitoring, Policy and Law"
"2040","1532-2882","Journal of the American Society for Information Science and Technology","1712","Software"
"2041","1532-2882","Journal of the American Society for Information Science and Technology","1710","Information Systems"
"2042","1532-2882","Journal of the American Society for Information Science and Technology","1709","Human-Computer Interaction"
"2043","1532-2882","Journal of the American Society for Information Science and Technology","1705","Computer Networks and Communications"
"2044","1532-2882","Journal of the American Society for Information Science and Technology","1702","Artificial Intelligence"
"2045","1532-7957","Personality and Social Psychology Review","3207","Social Psychology"
"2046","1557-0851","Feminist Criminology","3318","Gender Studies"
"2047","1557-0851","Feminist Criminology","3308","Law"
"2048","1575-6823","Araucaria","1202","History"
"2049","1575-6823","Araucaria","1201","Arts and Humanities (miscellaneous)"
"2050","1575-6823","Araucaria","3301","Social Sciences (miscellaneous)"
"2051","1575-6823","Araucaria","1211","Philosophy"
"2052","1575-6823","Araucaria","3312","Sociology and Political Science"
"2053","1593-7879","Mind and Society","3207","Social Psychology"
"2054","1593-7879","Mind and Society","3205","Experimental and Cognitive Psychology"
"2055","1593-7879","Mind and Society","1211","Philosophy"
"2056","1593-7879","Mind and Society","3301","Social Sciences (miscellaneous)"
"2057","1593-7879","Mind and Society","2001","Economics, Econometrics and Finance (miscellaneous)"
"2058","1733-6716",NA,NA,NA
"2059","1750-4813","Discourse and Communication","3315","Communication"
"2060","1750-4813","Discourse and Communication","3310","Linguistics and Language"
"2061","1760-7507",NA,NA,NA
"2062","1804-6746","Danube","2000","Economics, Econometrics and Finance (all)"
"2063","1804-6746","Danube","3308","Law"
"2064","1877-6884","Argumentation in Context","1203","Language and Linguistics"
"2065","1877-6884","Argumentation in Context","3315","Communication"
"2066","1877-6884","Argumentation in Context","3310","Linguistics and Language"
"2067","1948-5506","Social Psychological and Personality Science","3207","Social Psychology"
"2068","1948-5506","Social Psychological and Personality Science","3203","Clinical Psychology"
"2069","2080-5926","Comparative Legilinguistics","1203","Language and Linguistics"
"2070","2080-5926","Comparative Legilinguistics","3310","Linguistics and Language"
"2071","2080-5926","Comparative Legilinguistics","3308","Law"
"2072","2084-1264",NA,NA,NA
"2073","2146-1082",NA,NA,NA
"2074","2152-2820","Accounting, Economics and Law: A Convivium","1402","Accounting"
"2075","2152-2820","Accounting, Economics and Law: A Convivium","2001","Economics, Econometrics and Finance (miscellaneous)"
"2076","2152-2820","Accounting, Economics and Law: A Convivium","3308","Law"
"2077","2175-2168","Revista de Estudos Constitucionais, Hermeneutica e Teoria do Direito","3308","Law"
"2078","2192-8533",NA,NA,NA
"2079","2195-7819","Life Sciences, Society and Policy","1301","Biochemistry, Genetics and Molecular Biology (miscellaneous)"
"2080","2195-7819","Life Sciences, Society and Policy","1211","Philosophy"
"2081","2195-7819","Life Sciences, Society and Policy","2308","Management, Monitoring, Policy and Law"
"2082","2199-3882",NA,NA,NA
"2083","2212-652X","Advancing Global Bioethics","2910","Issues, Ethics and Legal Aspects"
"2084","2212-652X","Advancing Global Bioethics","3306","Health (social science)"
"2085","2212-652X","Advancing Global Bioethics","2719","Health Policy"
"2086","2212-652X","Advancing Global Bioethics","2739","Public Health, Environmental and Occupational Health"
"2087","2267-1242","E3S Web of Conferences","2300","Environmental Science (all)"
"2088","2267-1242","E3S Web of Conferences","2100","Energy (all)"
"2089","2267-1242","E3S Web of Conferences","1900","Earth and Planetary Sciences (all)"
"2090","2299-0518",NA,NA,NA
"2091","0002-0206","African Studies Review","3316","Cultural Studies"
"2092","0002-0206","African Studies Review","3314","Anthropology"
"2093","0002-9092","American Journal of Agricultural Economics","1101","Agricultural and Biological Sciences (miscellaneous)"
"2094","0002-9092","American Journal of Agricultural Economics","2002","Economics and Econometrics"
"2095","0004-0002","Archives of Sexual Behavior","1201","Arts and Humanities (miscellaneous)"
"2096","0004-0002","Archives of Sexual Behavior","3200","Psychology (all)"
"2097","0011-3204","Current Anthropology","1204","Archeology (arts and humanities)"
"2098","0011-3204","Current Anthropology","3314","Anthropology"
"2099","0011-3204","Current Anthropology","3302","Archeology"
"2100","0012-8163","Early American Literature","1208","Literature and Literary Theory"
"2101","0013-2004","Educational Theory","3304","Education"
"2102","0021-8863","The Journal of Applied Behavioral Science","3202","Applied Psychology"
"2103","0021-9029","Journal of Applied Social Psychology","3207","Social Psychology"
"2104","0022-0426","Journal of Drug Issues","3306","Health (social science)"
"2105","0022-0426","Journal of Drug Issues","2701","Medicine (miscellaneous)"
"2106","0022-0426","Journal of Drug Issues","2739","Public Health, Environmental and Occupational Health"
"2107","0022-0426","Journal of Drug Issues","2738","Psychiatry and Mental Health"
"2108","0022-0965","Journal of Experimental Child Psychology","3205","Experimental and Cognitive Psychology"
"2109","0022-0965","Journal of Experimental Child Psychology","3204","Developmental and Educational Psychology"
"2110","0026-749X","Modern Asian Studies","3305","Geography, Planning and Development"
"2111","0026-749X","Modern Asian Studies","1202","History"
"2112","0026-749X","Modern Asian Studies","3312","Sociology and Political Science"
"2113","0028-4793","New England Journal of Medicine","2700","Medicine (all)"
"2114","0033-5177","Quality and Quantity","2613","Statistics and Probability"
"2115","0033-5177","Quality and Quantity","3300","Social Sciences (all)"
"2116","0034-3404","Regional Studies","2300","Environmental Science (all)"
"2117","0034-3404","Regional Studies","3300","Social Sciences (all)"
"2118","0037-7961","Social Service Review","3312","Sociology and Political Science"
"2119","0038-0253","Sociological Quarterly","3312","Sociology and Political Science"
"2120","0039-2138",NA,NA,NA
"2121","0044-7803",NA,NA,NA
"2122","0048-7333","Research Policy","1408","Strategy and Management"
"2123","0048-7333","Research Policy","1803","Management Science and Operations Research"
"2124","0048-7333","Research Policy","1405","Management of Technology and Innovation"
"2125","0048-9697","Science of the Total Environment","2305","Environmental Engineering"
"2126","0048-9697","Science of the Total Environment","2304","Environmental Chemistry"
"2127","0048-9697","Science of the Total Environment","2311","Waste Management and Disposal"
"2128","0048-9697","Science of the Total Environment","2310","Pollution"
"2129","0091-0562","American Journal of Community Psychology","3306","Health (social science)"
"2130","0091-0562","American Journal of Community Psychology","3202","Applied Psychology"
"2131","0091-0562","American Journal of Community Psychology","2739","Public Health, Environmental and Occupational Health"
"2132","0093-5301","Journal of Consumer Research","1403","Business and International Management"
"2133","0093-5301","Journal of Consumer Research","3314","Anthropology"
"2134","0093-5301","Journal of Consumer Research","1201","Arts and Humanities (miscellaneous)"
"2135","0093-5301","Journal of Consumer Research","2002","Economics and Econometrics"
"2136","0093-5301","Journal of Consumer Research","1406","Marketing"
"2137","0095-182X","American Indian quarterly","2700","Medicine (all)"
"2138","0098-2601","Eighteenth-Century Life","3316","Cultural Studies"
"2139","0098-2601","Eighteenth-Century Life","1202","History"
"2140","0098-2601","Eighteenth-Century Life","1213","Visual Arts and Performing Arts"
"2141","0098-2601","Eighteenth-Century Life","1208","Literature and Literary Theory"
"2142","0103-3352",NA,NA,NA
"2143","0141-9889","Sociology of Health and Illness","3306","Health (social science)"
"2144","0141-9889","Sociology of Health and Illness","2719","Health Policy"
"2145","0141-9889","Sociology of Health and Illness","2739","Public Health, Environmental and Occupational Health"
"2146","0165-9227","Grazer Philosophische Studien","1211","Philosophy"
"2147","0195-6744","American Journal of Education","3304","Education"
"2148","0219-3116","Knowledge and Information Systems","1712","Software"
"2149","0219-3116","Knowledge and Information Systems","1710","Information Systems"
"2150","0219-3116","Knowledge and Information Systems","1709","Human-Computer Interaction"
"2151","0219-3116","Knowledge and Information Systems","1708","Hardware and Architecture"
"2152","0219-3116","Knowledge and Information Systems","1702","Artificial Intelligence"
"2153","0250-8060","Water International","2312","Water Science and Technology"
"2154","0250-8060","Water International","2308","Management, Monitoring, Policy and Law"
"2155","0253-3952","Social Dynamics","3301","Social Sciences (miscellaneous)"
"2156","0272-2011","American Review of Canadian Studies","3305","Geography, Planning and Development"
"2157","0272-2011","American Review of Canadian Studies","1904","Earth-Surface Processes"
"2158","0278-0097","IEEE Technology and Society Magazine","2200","Engineering (all)"
"2159","0278-0097","IEEE Technology and Society Magazine","3300","Social Sciences (all)"
"2160","0278-1204","Current Perspectives in Social Theory","3312","Sociology and Political Science"
"2161","0300-3930","Local Government Studies","3303","Development"
"2162","0300-3930","Local Government Studies","3312","Sociology and Political Science"
"2163","0304-3754","Alternatives","3312","Sociology and Political Science"
"2164","0304-3754","Alternatives","3320","Political Science and International Relations"
"2165","0306-6150","Journal of Peasant Studies","3316","Cultural Studies"
"2166","0306-6150","Journal of Peasant Studies","3314","Anthropology"
"2167","0306-6150","Journal of Peasant Studies","1201","Arts and Humanities (miscellaneous)"
"2168","0307-5079","Studies in Higher Education","3304","Education"
"2169","0360-2370","Studies in Eighteenth Century Culture","3316","Cultural Studies"
"2170","0360-2370","Studies in Eighteenth Century Culture","1200","Arts and Humanities (all)"
"2171","0362-9805","Legislative Studies Quarterly","3312","Sociology and Political Science"
"2172","0363-4523","Communication Education","3315","Communication"
"2173","0363-4523","Communication Education","3304","Education"
"2174","0363-4523","Communication Education","1203","Language and Linguistics"
"2175","0395-2649","Annales","1202","History"
"2176","0395-2649","Annales","3300","Social Sciences (all)"
"2177","0734-6018","Representations","3318","Gender Studies"
"2178","0734-6018","Representations","3316","Cultural Studies"
"2179","0734-6018","Representations","1200","Arts and Humanities (all)"
"2180","0734-6018","Representations","3312","Sociology and Political Science"
"2181","0749-5978","Organizational Behavior and Human Decision Processes","3202","Applied Psychology"
"2182","0749-5978","Organizational Behavior and Human Decision Processes","1407","Organizational Behavior and Human Resource Management"
"2183","0800-336X",NA,NA,NA
"2184","0828-8666","Humanomics","1211","Philosophy"
"2185","0828-8666","Humanomics","2002","Economics and Econometrics"
"2186","0888-4080","Applied Cognitive Psychology","3205","Experimental and Cognitive Psychology"
"2187","0888-4080","Applied Cognitive Psychology","3204","Developmental and Educational Psychology"
"2188","0888-4080","Applied Cognitive Psychology","1201","Arts and Humanities (miscellaneous)"
"2189","0890-913X","Journal of Private Enterprise","1400","Business, Management and Accounting (all)"
"2190","0890-913X","Journal of Private Enterprise","2000","Economics, Econometrics and Finance (all)"
"2191","0951-6328","Journal of Refugee Studies","3305","Geography, Planning and Development"
"2192","0951-6328","Journal of Refugee Studies","3320","Political Science and International Relations"
"2193","0971-6858","Journal of Human Values","3207","Social Psychology"
"2194","0971-6858","Journal of Human Values","3316","Cultural Studies"
"2195","0971-6858","Journal of Human Values","1211","Philosophy"
"2196","0971-6858","Journal of Human Values","3312","Sociology and Political Science"
"2197","0971-6858","Journal of Human Values","1407","Organizational Behavior and Human Resource Management"
"2198","1030-4312","Continuum","3316","Cultural Studies"
"2199","1030-4312","Continuum","1213","Visual Arts and Performing Arts"
"2200","1045-991X","Utopian studies","1211","Philosophy"
"2201","1053-1920","Postmodern Culture","3316","Cultural Studies"
"2202","1053-1920","Postmodern Culture","1213","Visual Arts and Performing Arts"
"2203","1053-1920","Postmodern Culture","1208","Literature and Literary Theory"
"2204","1062-7987","European Review","3305","Geography, Planning and Development"
"2205","1062-7987","European Review","3320","Political Science and International Relations"
"2206","1068-8471","Journal of Theoretical and Philosophical Psychology","1211","Philosophy"
"2207","1068-8471","Journal of Theoretical and Philosophical Psychology","3200","Psychology (all)"
"2208","1071-4413","Review of Education, Pedagogy, and Cultural Studies","3316","Cultural Studies"
"2209","1071-4413","Review of Education, Pedagogy, and Cultural Studies","3304","Education"
"2210","1094-429X","Systemic Practice and Action Research","1408","Strategy and Management"
"2211","1094-429X","Systemic Practice and Action Research","1405","Management of Technology and Innovation"
"2212","1354-9839","Local Environment","3305","Geography, Planning and Development"
"2213","1354-9839","Local Environment","2308","Management, Monitoring, Policy and Law"
"2214","1356-1294","Journal of Evaluation in Clinical Practice","2719","Health Policy"
"2215","1356-1294","Journal of Evaluation in Clinical Practice","2739","Public Health, Environmental and Occupational Health"
"2216","1461-4456","Discourse Studies","3207","Social Psychology"
"2217","1461-4456","Discourse Studies","3315","Communication"
"2218","1461-4456","Discourse Studies","1203","Language and Linguistics"
"2219","1461-4456","Discourse Studies","3314","Anthropology"
"2220","1461-4456","Discourse Studies","3310","Linguistics and Language"
"2221","1461-6742","International Feminist Journal of Politics","3318","Gender Studies"
"2222","1461-6742","International Feminist Journal of Politics","1201","Arts and Humanities (miscellaneous)"
"2223","1461-6742","International Feminist Journal of Politics","3312","Sociology and Political Science"
"2224","1461-6742","International Feminist Journal of Politics","3320","Political Science and International Relations"
"2225","1463-4996","Anthropological Theory","3314","Anthropology"
"2226","1463-4996","Anthropological Theory","1201","Arts and Humanities (miscellaneous)"
"2227","1465-4466","Historical Materialism","1202","History"
"2228","1465-4466","Historical Materialism","3301","Social Sciences (miscellaneous)"
"2229","1465-4466","Historical Materialism","3312","Sociology and Political Science"
"2230","1465-4466","Historical Materialism","3320","Political Science and International Relations"
"2231","1465-4466","Historical Materialism","2000","Economics, Econometrics and Finance (all)"
"2232","1472-6483","Reproductive BioMedicine Online","2743","Reproductive Medicine"
"2233","1472-6483","Reproductive BioMedicine Online","2729","Obstetrics and Gynecology"
"2234","1472-6483","Reproductive BioMedicine Online","1309","Developmental Biology"
"2235","1472-6696",NA,NA,NA
"2236","1474-9041","European Educational Research Journal","3304","Education"
"2237","1476-3435","Latino Studies","3316","Cultural Studies"
"2238","1476-3435","Latino Studies","1202","History"
"2239","1476-3435","Latino Studies","3312","Sociology and Political Science"
"2240","1477-7487","Surveillance & Society","3311","Safety Research"
"2241","1477-7487","Surveillance & Society","3322","Urban Studies"
"2242","1515-7326",NA,NA,NA
"2243","1531-426X","Latin American Politics and Society","3305","Geography, Planning and Development"
"2244","1531-426X","Latin American Politics and Society","3312","Sociology and Political Science"
"2245","1531-426X","Latin American Politics and Society","3320","Political Science and International Relations"
"2246","1536-5581","Conflict Resolution Quarterly","3201","Psychology (miscellaneous)"
"2247","1536-5581","Conflict Resolution Quarterly","3308","Law"
"2248","1566-7170","Public Organization Review","1401","Business, Management and Accounting (miscellaneous)"
"2249","1566-7170","Public Organization Review","3308","Law"
"2250","1574-0730","Handbook of Law and Economics","2002","Economics and Econometrics"
"2251","1574-0730","Handbook of Law and Economics","3308","Law"
"2252","1660-4601","International Journal of Environmental Research and Public Health","2310","Pollution"
"2253","1660-4601","International Journal of Environmental Research and Public Health","2739","Public Health, Environmental and Occupational Health"
"2254","1660-4601","International Journal of Environmental Research and Public Health","2307","Health, Toxicology and Mutagenesis"
"2255","1712-8056",NA,NA,NA
"2256","1751-9004","Social and Personality Psychology Compass","3207","Social Psychology"
"2257","1752-4032","Environmental Communication","2301","Environmental Science (miscellaneous)"
"2258","1752-4032","Environmental Communication","2308","Management, Monitoring, Policy and Law"
"2259","1799-2591","Theory and Practice in Language Studies","1203","Language and Linguistics"
"2260","1799-2591","Theory and Practice in Language Studies","3304","Education"
"2261","1799-2591","Theory and Practice in Language Studies","3310","Linguistics and Language"
"2262","2202-8005","International Journal for Crime, Justice and Social Democracy","3312","Sociology and Political Science"
"2263","2202-8005","International Journal for Crime, Justice and Social Democracy","3308","Law"
"2264","2211-2758","Outstanding Contributions to Logic","2609","Logic"
"2265","2214-790X","Extractive Industries and Society","3305","Geography, Planning and Development"
"2266","2214-790X","Extractive Industries and Society","3303","Development"
"2267","2214-790X","Extractive Industries and Society","1905","Economic Geology"
"2268","2214-790X","Extractive Industries and Society","2308","Management, Monitoring, Policy and Law"
"2269","2295-5739","Linguistica Antverpiensia, New Series – Themes in Translation Studies","1203","Language and Linguistics"
"2270","2295-5739","Linguistica Antverpiensia, New Series – Themes in Translation Studies","3310","Linguistics and Language"
"2271","2330-8176",NA,NA,NA
"2272","2379-9978",NA,NA,NA
"2273","2469-4452","Annals of the American Association of Geographers","3305","Geography, Planning and Development"
"2274","2469-4452","Annals of the American Association of Geographers","1904","Earth-Surface Processes"
"2275","2522-5677",NA,NA,NA
"2276","2542-9094",NA,NA,NA
"2277","2662-6470",NA,NA,NA
"2278","0001-0782","Communications of the ACM","1700","Computer Science (all)"
"2279","0003-5491","Anthropological Quarterly","3314","Anthropology"
"2280","0003-5491","Anthropological Quarterly","1201","Arts and Humanities (miscellaneous)"
"2281","0008-3968","Canadian Journal of African Studies","3317","Demography"
"2282","0008-3968","Canadian Journal of African Studies","3316","Cultural Studies"
"2283","0008-3968","Canadian Journal of African Studies","3303","Development"
"2284","0008-3968","Canadian Journal of African Studies","1202","History"
"2285","0008-3968","Canadian Journal of African Studies","3314","Anthropology"
"2286","0008-3968","Canadian Journal of African Studies","3312","Sociology and Political Science"
"2287","0010-0285","Cognitive Psychology","3206","Neuropsychology and Physiological Psychology"
"2288","0010-0285","Cognitive Psychology","3205","Experimental and Cognitive Psychology"
"2289","0010-0285","Cognitive Psychology","3204","Developmental and Educational Psychology"
"2290","0010-0285","Cognitive Psychology","3310","Linguistics and Language"
"2291","0010-0285","Cognitive Psychology","1702","Artificial Intelligence"
"2292","0011-1503","Critica-Revista Hispanoamericana de Filosofia","1211","Philosophy"
"2293","0012-1649","Developmental Psychology","3317","Demography"
"2294","0012-1649","Developmental Psychology","3204","Developmental and Educational Psychology"
"2295","0012-1649","Developmental Psychology","3319","Life-span and Life-course Studies"
"2296","0013-161X","Educational Administration Quarterly","3304","Education"
"2297","0013-161X","Educational Administration Quarterly","3321","Public Administration"
"2298","0020-7985","International Migration","3317","Demography"
"2299","0022-3808","Journal of Political Economy","2002","Economics and Econometrics"
"2300","0024-2519","Library Quarterly","3309","Library and Information Sciences"
"2301","0024-3639","The Linacre quarterly","1211","Philosophy"
"2302","0024-3639","The Linacre quarterly","2719","Health Policy"
"2303","0032-258X",NA,NA,NA
"2304","0034-9712","Revista Internacional de Sociologia","3300","Social Sciences (all)"
"2305","0047-4045","Language in Society","1203","Language and Linguistics"
"2306","0047-4045","Language in Society","3312","Sociology and Political Science"
"2307","0047-4045","Language in Society","3310","Linguistics and Language"
"2308","0048-8402","Rivista Italiana di Scienza Politica","3312","Sociology and Political Science"
"2309","0048-8402","Rivista Italiana di Scienza Politica","3320","Political Science and International Relations"
"2310","0079-1350",NA,NA,NA
"2311","0090-9882","Journal of Applied Communication Research","3315","Communication"
