"","X","issn","tilte","code","area","area2"
"1681",1785,"1080-6954","Journal of Chinese Political Science",3312,"Sociology and Political Science","Social sciences"
"1682",1786,"1080-6954","Journal of Chinese Political Science",3320,"Political Science and International Relations","Social sciences"
"1683",1787,"1081-1680","Communication Law and Policy",3315,"Communication","Social sciences"
"1684",1788,"1081-1680","Communication Law and Policy",3308,"Law","Law"
"1685",1789,"1122-1151","Axiomathes",2601,"Mathematics (miscellaneous)","Other"
"1686",1790,"1122-1151","Axiomathes",1211,"Philosophy","Philosophy"
"1687",1791,"1233-1821","Foundations of Science",1000,"Multidisciplinary","Other"
"1688",1792,"1233-1821","Foundations of Science",1207,"History and Philosophy of Science","Humanities"
"1689",1793,"1356-2576","Space and Polity",3305,"Geography, Planning and Development","Social sciences"
"1690",1794,"1356-2576","Space and Polity",3320,"Political Science and International Relations","Social sciences"
"1691",1795,"1360-9939","International Journal of Law, Policy and the Family",3312,"Sociology and Political Science","Social sciences"
"1692",1796,"1360-9939","International Journal of Law, Policy and the Family",3308,"Law","Law"
"1693",1797,"1363-951X","Policing",2734,"Pathology and Forensic Medicine","Other"
"1694",1798,"1363-951X","Policing",3308,"Law","Law"
"1695",1799,"1363-951X","Policing",3321,"Public Administration","Social sciences"
"1696",1800,"1369-8486","Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences",1202,"History","Humanities"
"1697",1801,"1369-8486","Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences",1207,"History and Philosophy of Science","Humanities"
"1698",1802,"1464-9357","Planning Theory and Practice",3305,"Geography, Planning and Development","Social sciences"
"1699",1803,"1468-1099","Japanese Journal of Political Science",3312,"Sociology and Political Science","Social sciences"
"1700",1804,"1468-1099","Japanese Journal of Political Science",3320,"Political Science and International Relations","Social sciences"
"1701",1805,"1472-0701","Corporate Governance (Bingley)",1401,"Business, Management and Accounting (miscellaneous)","Social sciences"
"1702",1806,"1475-9276","International Journal for Equity in Health",2719,"Health Policy","Other"
"1703",1807,"1475-9276","International Journal for Equity in Health",2739,"Public Health, Environmental and Occupational Health","Other"
"1704",1808,"1537-7938","Journal of Ethnicity in Criminal Justice",3314,"Anthropology","Social sciences"
"1705",1809,"1537-7938","Journal of Ethnicity in Criminal Justice",3308,"Law","Law"
"1706",1810,"1569-1322","Comparative Sociology",3312,"Sociology and Political Science","Social sciences"
"1707",1811,"1572-3429","Contemporary Pragmatism",1211,"Philosophy","Philosophy"
"1708",1812,"1740-5904","Critical Discourse Studies",3300,"Social Sciences (all)","Social sciences"
"1709",1813,"1746-1979","Education, Citizenship and Social Justice",3304,"Education","Social sciences"
"1710",1814,"1747-5341","Philosophy, Ethics, and Humanities in Medicine",2910,"Issues, Ethics and Legal Aspects","Other"
"1711",1815,"1747-5341","Philosophy, Ethics, and Humanities in Medicine",2719,"Health Policy","Other"
"1712",1816,"1747-5341","Philosophy, Ethics, and Humanities in Medicine",1207,"History and Philosophy of Science","Humanities"
"1713",1817,"1754-243X","International Journal of Law and Management",1407,"Organizational Behavior and Human Resource Management","Social sciences"
"1714",1818,"1754-243X","International Journal of Law and Management",3308,"Law","Law"
"1715",1822,"2158-2440","SAGE Open",1200,"Arts and Humanities (all)","Humanities"
"1716",1823,"2158-2440","SAGE Open",3300,"Social Sciences (all)","Social sciences"
"1717",1824,"2211-8101","SpringerBriefs in Ethics",2701,"Medicine (miscellaneous)","Other"
"1718",1825,"2211-8101","SpringerBriefs in Ethics",1211,"Philosophy","Philosophy"
"1719",1826,"2211-8101","SpringerBriefs in Ethics",3301,"Social Sciences (miscellaneous)","Social sciences"
"1720",1828,"2322-5939","International Journal of Health Policy and Management",2911,"Leadership and Management","Other"
"1721",1829,"2322-5939","International Journal of Health Policy and Management",3306,"Health (social science)","Social sciences"
"1722",1830,"2322-5939","International Journal of Health Policy and Management",2719,"Health Policy","Other"
"1723",1831,"2322-5939","International Journal of Health Policy and Management",2308,"Management, Monitoring, Policy and Law","Other"
"1724",1832,"2322-5939","International Journal of Health Policy and Management",3605,"Health Information Management","Other"
"1725",1833,"2374-5118","European Politics and Society",3312,"Sociology and Political Science","Social sciences"
"1726",1834,"2374-5118","European Politics and Society",3320,"Political Science and International Relations","Social sciences"
"1727",1835,"2573-0142","Proceedings of the ACM on Human-Computer Interaction",3301,"Social Sciences (miscellaneous)","Social sciences"
"1728",1836,"2573-0142","Proceedings of the ACM on Human-Computer Interaction",1709,"Human-Computer Interaction","Other"
"1729",1837,"2573-0142","Proceedings of the ACM on Human-Computer Interaction",1705,"Computer Networks and Communications","Other"
"1730",1838,"0003-1232","The American Sociologist",3301,"Social Sciences (miscellaneous)","Social sciences"
"1731",1839,"0003-1232","The American Sociologist",3312,"Sociology and Political Science","Social sciences"
"1732",1840,"0004-1610","Arizona Quarterly",3316,"Cultural Studies","Social sciences"
"1733",1841,"0004-1610","Arizona Quarterly",1208,"Literature and Literary Theory","Humanities"
"1734",1842,"0013-0427","Economica",2002,"Economics and Econometrics","Social sciences"
"1735",1843,"0013-189X","Educational Researcher",3304,"Education","Social sciences"
"1736",1844,"0020-7438","International Journal of Middle East Studies",3305,"Geography, Planning and Development","Social sciences"
"1737",1845,"0020-7438","International Journal of Middle East Studies",1202,"History","Humanities"
"1738",1846,"0020-7438","International Journal of Middle East Studies",3312,"Sociology and Political Science","Social sciences"
"1739",1847,"0021-9010","Journal of Applied Psychology",3202,"Applied Psychology","Other"
"1740",1849,"0022-278X","Journal of Modern African Studies",3305,"Geography, Planning and Development","Social sciences"
"1741",1850,"0022-278X","Journal of Modern African Studies",3312,"Sociology and Political Science","Social sciences"
"1742",1851,"0031-8248","Philosophy of Science",1202,"History","Humanities"
"1743",1852,"0031-8248","Philosophy of Science",1211,"Philosophy","Philosophy"
"1744",1853,"0031-8248","Philosophy of Science",1207,"History and Philosophy of Science","Humanities"
"1745",1854,"0036-8075","Science",1000,"Multidisciplinary","Other"
"1746",1855,"0084-6570","Annual Review of Anthropology",3316,"Cultural Studies","Social sciences"
"1747",1856,"0084-6570","Annual Review of Anthropology",3314,"Anthropology","Social sciences"
"1748",1857,"0084-6570","Annual Review of Anthropology",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1749",1858,"0162-2889","International Security",3312,"Sociology and Political Science","Social sciences"
"1750",1859,"0162-2889","International Security",3320,"Political Science and International Relations","Social sciences"
"1751",1860,"0162-2889","International Security",3308,"Law","Law"
"1752",1861,"0166-6991","Synthese Library",1203,"Language and Linguistics","Humanities"
"1753",1862,"0166-6991","Synthese Library",1202,"History","Humanities"
"1754",1863,"0166-6991","Synthese Library",2609,"Logic","Other"
"1755",1864,"0166-6991","Synthese Library",1207,"History and Philosophy of Science","Humanities"
"1756",1865,"0170-8406","Organization Studies",1408,"Strategy and Management","Social sciences"
"1757",1866,"0170-8406","Organization Studies",1407,"Organizational Behavior and Human Resource Management","Social sciences"
"1758",1867,"0170-8406","Organization Studies",1405,"Management of Technology and Innovation","Social sciences"
"1759",1868,"0176-2680","European Journal of Political Economy",2002,"Economics and Econometrics","Social sciences"
"1760",1869,"0176-2680","European Journal of Political Economy",3320,"Political Science and International Relations","Social sciences"
"1761",1870,"0191-8869","Personality and Individual Differences",3200,"Psychology (all)","Other"
"1762",1871,"0225-5189","Canadian Journal of Development Studies",3303,"Development","Social sciences"
"1763",1872,"0258-9346","Politikon",3312,"Sociology and Political Science","Social sciences"
"1764",1873,"0258-9346","Politikon",3320,"Political Science and International Relations","Social sciences"
"1765",1874,"0267-3037","Housing Studies",2301,"Environmental Science (miscellaneous)","Other"
"1766",1875,"0267-3037","Housing Studies",3312,"Sociology and Political Science","Social sciences"
"1767",1876,"0267-3037","Housing Studies",3322,"Urban Studies","Social sciences"
"1768",1877,"0268-1161","Human Reproduction",2743,"Reproductive Medicine","Other"
"1769",1878,"0268-1161","Human Reproduction",2729,"Obstetrics and Gynecology","Other"
"1770",1879,"0333-5372","Poetics Today",1208,"Literature and Literary Theory","Humanities"
"1771",1880,"0738-0593","International Journal of Educational Development",3304,"Education","Social sciences"
"1772",1881,"0738-0593","International Journal of Educational Development",3303,"Development","Social sciences"
"1773",1882,"0738-0593","International Journal of Educational Development",3312,"Sociology and Political Science","Social sciences"
"1774",1883,"0739-456X","Journal of Planning Education and Research",3305,"Geography, Planning and Development","Social sciences"
"1775",1884,"0739-456X","Journal of Planning Education and Research",3303,"Development","Social sciences"
"1776",1885,"0739-456X","Journal of Planning Education and Research",3322,"Urban Studies","Social sciences"
"1777",1887,"0791-6035","Irish Journal of Sociology",3300,"Social Sciences (all)","Social sciences"
"1778",1888,"0897-4454","Women and Criminal Justice",3318,"Gender Studies","Social sciences"
"1779",1889,"0897-4454","Women and Criminal Justice",3308,"Law","Law"
"1780",1890,"0956-7976","Psychological Science",3200,"Psychology (all)","Other"
"1781",1891,"0959-3535","Feminism and Psychology",3318,"Gender Studies","Social sciences"
"1782",1892,"0959-3535","Feminism and Psychology",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1783",1893,"0959-3535","Feminism and Psychology",3200,"Psychology (all)","Other"
"1784",1894,"0965-4313","European Planning Studies",3305,"Geography, Planning and Development","Social sciences"
"1785",1895,"0965-8564","Transportation Research, Part A: Policy and Practice",2205,"Civil and Structural Engineering","Other"
"1786",1896,"0965-8564","Transportation Research, Part A: Policy and Practice",1401,"Business, Management and Accounting (miscellaneous)","Social sciences"
"1787",1897,"0965-8564","Transportation Research, Part A: Policy and Practice",3313,"Transportation","Social sciences"
"1788",1898,"0965-8564","Transportation Research, Part A: Policy and Practice",2202,"Aerospace Engineering","Other"
"1789",1899,"0965-8564","Transportation Research, Part A: Policy and Practice",1803,"Management Science and Operations Research","Other"
"1790",1900,"1040-6026","Environmental Claims Journal",2308,"Management, Monitoring, Policy and Law","Other"
"1791",1901,"1049-2585","Research on Economic Inequality",3312,"Sociology and Political Science","Social sciences"
"1792",1902,"1049-2585","Research on Economic Inequality",1407,"Organizational Behavior and Human Resource Management","Social sciences"
"1793",1903,"1050-9585","European Romantic Review",3316,"Cultural Studies","Social sciences"
"1794",1904,"1050-9585","European Romantic Review",1208,"Literature and Literary Theory","Humanities"
"1795",1905,"1060-586X","Post-Soviet Affairs",3312,"Sociology and Political Science","Social sciences"
"1796",1906,"1060-586X","Post-Soviet Affairs",2002,"Economics and Econometrics","Social sciences"
"1797",1907,"1060-586X","Post-Soviet Affairs",3320,"Political Science and International Relations","Social sciences"
"1798",1908,"1210-9126","Casopis pro Pravni Vedu a Praxi",3308,"Law","Law"
"1799",1909,"1350-5084","Organization",1400,"Business, Management and Accounting (all)","Social sciences"
"1800",1910,"1350-5084","Organization",1408,"Strategy and Management","Social sciences"
"1801",1911,"1350-5084","Organization",1405,"Management of Technology and Innovation","Social sciences"
"1802",1912,"1350-7486","European Review of History/Revue Europeenne d'Histoire",1202,"History","Humanities"
"1803",1915,"1741-6590","Crime, Media, Culture",3316,"Cultural Studies","Social sciences"
"1804",1916,"1741-6590","Crime, Media, Culture",3315,"Communication","Social sciences"
"1805",1917,"1741-6590","Crime, Media, Culture",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1806",1918,"1741-6590","Crime, Media, Culture",3308,"Law","Law"
"1807",1919,"1752-1483","Law and Humanities",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1808",1920,"1752-1483","Law and Humanities",3308,"Law","Law"
"1809",1921,"1756-1450","International Journal of Law in the Built Environment",3322,"Urban Studies","Social sciences"
"1810",1922,"1756-1450","International Journal of Law in the Built Environment",2308,"Management, Monitoring, Policy and Law","Other"
"1811",1923,"1756-1450","International Journal of Law in the Built Environment",3308,"Law","Law"
"1812",1924,"1756-8757","Topics in Cognitive Science",3205,"Experimental and Cognitive Psychology","Other"
"1813",1925,"1756-8757","Topics in Cognitive Science",3310,"Linguistics and Language","Social sciences"
"1814",1926,"1756-8757","Topics in Cognitive Science",1709,"Human-Computer Interaction","Other"
"1815",1927,"1756-8757","Topics in Cognitive Science",2805,"Cognitive Neuroscience","Other"
"1816",1928,"1756-8757","Topics in Cognitive Science",1702,"Artificial Intelligence","Other"
"1817",1929,"1794-5887","Co-herencia",1213,"Visual Arts and Performing Arts","Humanities"
"1818",1930,"1794-5887","Co-herencia",1202,"History","Humanities"
"1819",1931,"1794-5887","Co-herencia",1211,"Philosophy","Philosophy"
"1820",1932,"1794-5887","Co-herencia",3312,"Sociology and Political Science","Social sciences"
"1821",1933,"1794-5887","Co-herencia",1210,"Music","Humanities"
"1822",1934,"1794-5887","Co-herencia",1208,"Literature and Literary Theory","Humanities"
"1823",1936,"1863-9038","ERA Forum",3320,"Political Science and International Relations","Social sciences"
"1824",1937,"1863-9038","ERA Forum",3308,"Law","Law"
"1825",1938,"1865-2646","Zeitschrift fur Vergleichende Politikwissenschaft",3312,"Sociology and Political Science","Social sciences"
"1826",1940,"1930-2975","Judgment and Decision Making",1800,"Decision Sciences (all)","Other"
"1827",1941,"1930-2975","Judgment and Decision Making",3202,"Applied Psychology","Other"
"1828",1942,"1930-2975","Judgment and Decision Making",2002,"Economics and Econometrics","Social sciences"
"1829",1943,"2214-594X","Comparative Migration Studies",3317,"Demography","Social sciences"
"1830",1944,"2214-594X","Comparative Migration Studies",3305,"Geography, Planning and Development","Social sciences"
"1831",1945,"2214-594X","Comparative Migration Studies",3312,"Sociology and Political Science","Social sciences"
"1832",1946,"2214-594X","Comparative Migration Studies",1804,"Statistics, Probability and Uncertainty","Other"
"1833",1947,"2214-594X","Comparative Migration Studies",3308,"Law","Law"
"1834",1948,"2214-9120","Logic, Argumentation and Reasoning",3315,"Communication","Social sciences"
"1835",1949,"2214-9120","Logic, Argumentation and Reasoning",1203,"Language and Linguistics","Humanities"
"1836",1950,"2214-9120","Logic, Argumentation and Reasoning",1202,"History","Humanities"
"1837",1951,"2214-9120","Logic, Argumentation and Reasoning",1211,"Philosophy","Philosophy"
"1838",1952,"2214-9120","Logic, Argumentation and Reasoning",3310,"Linguistics and Language","Social sciences"
"1839",1953,"2214-9120","Logic, Argumentation and Reasoning",2604,"Applied Mathematics","Other"
"1840",1956,"0002-7189","Journal of the American Academy of Religion",1212,"Religious Studies","Humanities"
"1841",1957,"0017-8160","Harvard Theological Review",1212,"Religious Studies","Humanities"
"1842",1958,"0018-1560","Higher Education",3304,"Education","Social sciences"
"1843",1959,"0024-2594","Library Trends",3309,"Library and Information Sciences","Social sciences"
"1844",1961,"0036-9306","Scottish Journal of Theology",1212,"Religious Studies","Humanities"
"1845",1962,"0040-1625","Technological Forecasting and Social Change",1403,"Business and International Management","Social sciences"
"1846",1963,"0040-1625","Technological Forecasting and Social Change",3202,"Applied Psychology","Other"
"1847",1964,"0040-1625","Technological Forecasting and Social Change",1405,"Management of Technology and Innovation","Social sciences"
"1848",1966,"0043-4078","Western Political Quarterly",2700,"Medicine (all)","Other"
"1849",1968,"0080-6757","Scandinavian Political Studies",3312,"Sociology and Political Science","Social sciences"
"1850",1969,"0090-8320","Ocean Development and International Law",3303,"Development","Social sciences"
"1851",1970,"0090-8320","Ocean Development and International Law",3320,"Political Science and International Relations","Social sciences"
"1852",1971,"0090-8320","Ocean Development and International Law",2308,"Management, Monitoring, Policy and Law","Other"
"1853",1972,"0090-8320","Ocean Development and International Law",3308,"Law","Law"
"1854",1973,"0097-7004","Modern China",3305,"Geography, Planning and Development","Social sciences"
"1855",1974,"0097-7004","Modern China",1202,"History","Humanities"
"1856",1975,"0097-7004","Modern China",3312,"Sociology and Political Science","Social sciences"
"1857",1976,"0142-5692","British Journal of Sociology of Education",3304,"Education","Social sciences"
"1858",1977,"0142-5692","British Journal of Sociology of Education",3312,"Sociology and Political Science","Social sciences"
"1859",1978,"0143-005X","Journal of Epidemiology and Community Health",2713,"Epidemiology","Other"
"1860",1979,"0143-005X","Journal of Epidemiology and Community Health",2739,"Public Health, Environmental and Occupational Health","Other"
"1861",1980,"0143-814X","Journal of Public Policy",3321,"Public Administration","Social sciences"
"1862",1981,"0143-814X","Journal of Public Policy",2308,"Management, Monitoring, Policy and Law","Other"
"1863",1982,"0148-2963","Journal of Business Research",1406,"Marketing","Social sciences"
"1864",1983,"0162-0436","Qualitative Sociology",3312,"Sociology and Political Science","Social sciences"
"1865",1984,"0172-6404","Historical Social Research",1202,"History","Humanities"
"1866",1985,"0172-6404","Historical Social Research",3312,"Sociology and Political Science","Social sciences"
"1867",1986,"0172-6404","Historical Social Research",3300,"Social Sciences (all)","Social sciences"
"1868",1987,"0191-5096","Journal of Sociology and Social Welfare",3312,"Sociology and Political Science","Social sciences"
"1869",1988,"0191-5096","Journal of Sociology and Social Welfare",3301,"Social Sciences (miscellaneous)","Social sciences"
"1870",1989,"0195-6086","Symbolic Interaction",2900,"Nursing (all)","Other"
"1871",1990,"0195-6086","Symbolic Interaction",3207,"Social Psychology","Other"
"1872",1991,"0195-6086","Symbolic Interaction",3304,"Education","Social sciences"
"1873",1992,"0195-6086","Symbolic Interaction",3315,"Communication","Social sciences"
"1874",1993,"0195-6086","Symbolic Interaction",3312,"Sociology and Political Science","Social sciences"
"1875",1994,"0195-6086","Symbolic Interaction",3300,"Social Sciences (all)","Social sciences"
"1876",1995,"0272-4332","Risk Analysis",2213,"Safety, Risk, Reliability and Quality","Other"
"1877",1996,"0272-4332","Risk Analysis",2737,"Physiology (medical)","Other"
"1878",1997,"0309-8168","Capital and Class",1202,"History","Humanities"
"1879",1998,"0309-8168","Capital and Class",3312,"Sociology and Political Science","Social sciences"
"1880",1999,"0309-8168","Capital and Class",2002,"Economics and Econometrics","Social sciences"
"1881",2000,"0340-0425","Leviathan (Germany)",1203,"Language and Linguistics","Humanities"
"1882",2001,"0340-0425","Leviathan (Germany)",3312,"Sociology and Political Science","Social sciences"
"1883",2002,"0340-0425","Leviathan (Germany)",3310,"Linguistics and Language","Social sciences"
"1884",2003,"0340-0425","Leviathan (Germany)",3320,"Political Science and International Relations","Social sciences"
"1885",2005,"0883-0355","International Journal of Educational Research",3304,"Education","Social sciences"
"1886",2007,"0925-8531","Journal of Logic, Language and Information",1701,"Computer Science (miscellaneous)","Other"
"1887",2008,"0925-8531","Journal of Logic, Language and Information",1211,"Philosophy","Philosophy"
"1888",2009,"0925-8531","Journal of Logic, Language and Information",3310,"Linguistics and Language","Social sciences"
"1889",2010,"0936-9937","Journal of Evolutionary Economics",1400,"Business, Management and Accounting (all)","Social sciences"
"1890",2011,"0936-9937","Journal of Evolutionary Economics",2002,"Economics and Econometrics","Social sciences"
"1891",2013,"0951-6298","Journal of Theoretical Politics",3312,"Sociology and Political Science","Social sciences"
"1892",2014,"0956-5221","Scandinavian Journal of Management",3202,"Applied Psychology","Other"
"1893",2015,"0956-5221","Scandinavian Journal of Management",1408,"Strategy and Management","Social sciences"
"1894",2016,"0961-754X","Common Knowledge",3316,"Cultural Studies","Social sciences"
"1895",2017,"0961-754X","Common Knowledge",1211,"Philosophy","Philosophy"
"1896",2018,"0961-754X","Common Knowledge",1208,"Literature and Literary Theory","Humanities"
"1897",2019,"0964-5691","Ocean and Coastal Management",1910,"Oceanography","Other"
"1898",2020,"0964-5691","Ocean and Coastal Management",1104,"Aquatic Science","Other"
"1899",2021,"0964-5691","Ocean and Coastal Management",2308,"Management, Monitoring, Policy and Law","Other"
"1900",2022,"0967-067X","Communist and Post-Communist Studies",3303,"Development","Social sciences"
"1901",2023,"0967-067X","Communist and Post-Communist Studies",3312,"Sociology and Political Science","Social sciences"
"1902",2024,"1035-7823","Asian Studies Review",3316,"Cultural Studies","Social sciences"
"1903",2025,"1035-7823","Asian Studies Review",1202,"History","Humanities"
"1904",2026,"1035-7823","Asian Studies Review",3312,"Sociology and Political Science","Social sciences"
"1905",2027,"1048-9843","Leadership Quarterly",1403,"Business and International Management","Social sciences"
"1906",2028,"1048-9843","Leadership Quarterly",3312,"Sociology and Political Science","Social sciences"
"1907",2029,"1048-9843","Leadership Quarterly",3202,"Applied Psychology","Other"
"1908",2030,"1048-9843","Leadership Quarterly",1407,"Organizational Behavior and Human Resource Management","Social sciences"
"1909",2031,"1360-0826","Global Society",2306,"Global and Planetary Change","Other"
"1910",2032,"1360-0826","Global Society",3305,"Geography, Planning and Development","Social sciences"
"1911",2033,"1364-2987","International Journal of Human Rights",3312,"Sociology and Political Science","Social sciences"
"1912",2034,"1364-2987","International Journal of Human Rights",3308,"Law","Law"
"1913",2035,"1422-2213","Journal of World Intellectual Property",3308,"Law","Law"
"1914",2036,"1464-8849","Journalism",3315,"Communication","Social sciences"
"1915",2037,"1464-8849","Journalism",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1916",2038,"1472-9342","Oxford University Commonwealth Law Journal",3308,"Law","Law"
"1917",2039,"1522-7200","Journal of Environmental Policy and Planning",2308,"Management, Monitoring, Policy and Law","Other"
"1918",2040,"1532-2882","Journal of the American Society for Information Science and Technology",1712,"Software","Other"
"1919",2041,"1532-2882","Journal of the American Society for Information Science and Technology",1710,"Information Systems","Other"
"1920",2042,"1532-2882","Journal of the American Society for Information Science and Technology",1709,"Human-Computer Interaction","Other"
"1921",2043,"1532-2882","Journal of the American Society for Information Science and Technology",1705,"Computer Networks and Communications","Other"
"1922",2044,"1532-2882","Journal of the American Society for Information Science and Technology",1702,"Artificial Intelligence","Other"
"1923",2045,"1532-7957","Personality and Social Psychology Review",3207,"Social Psychology","Other"
"1924",2046,"1557-0851","Feminist Criminology",3318,"Gender Studies","Social sciences"
"1925",2047,"1557-0851","Feminist Criminology",3308,"Law","Law"
"1926",2048,"1575-6823","Araucaria",1202,"History","Humanities"
"1927",2049,"1575-6823","Araucaria",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1928",2050,"1575-6823","Araucaria",3301,"Social Sciences (miscellaneous)","Social sciences"
"1929",2051,"1575-6823","Araucaria",1211,"Philosophy","Philosophy"
"1930",2052,"1575-6823","Araucaria",3312,"Sociology and Political Science","Social sciences"
"1931",2053,"1593-7879","Mind and Society",3207,"Social Psychology","Other"
"1932",2054,"1593-7879","Mind and Society",3205,"Experimental and Cognitive Psychology","Other"
"1933",2055,"1593-7879","Mind and Society",1211,"Philosophy","Philosophy"
"1934",2056,"1593-7879","Mind and Society",3301,"Social Sciences (miscellaneous)","Social sciences"
"1935",2057,"1593-7879","Mind and Society",2001,"Economics, Econometrics and Finance (miscellaneous)","Social sciences"
"1936",2059,"1750-4813","Discourse and Communication",3315,"Communication","Social sciences"
"1937",2060,"1750-4813","Discourse and Communication",3310,"Linguistics and Language","Social sciences"
"1938",2062,"1804-6746","Danube",2000,"Economics, Econometrics and Finance (all)","Social sciences"
"1939",2063,"1804-6746","Danube",3308,"Law","Law"
"1940",2064,"1877-6884","Argumentation in Context",1203,"Language and Linguistics","Humanities"
"1941",2065,"1877-6884","Argumentation in Context",3315,"Communication","Social sciences"
"1942",2066,"1877-6884","Argumentation in Context",3310,"Linguistics and Language","Social sciences"
"1943",2067,"1948-5506","Social Psychological and Personality Science",3207,"Social Psychology","Other"
"1944",2068,"1948-5506","Social Psychological and Personality Science",3203,"Clinical Psychology","Other"
"1945",2069,"2080-5926","Comparative Legilinguistics",1203,"Language and Linguistics","Humanities"
"1946",2070,"2080-5926","Comparative Legilinguistics",3310,"Linguistics and Language","Social sciences"
"1947",2071,"2080-5926","Comparative Legilinguistics",3308,"Law","Law"
"1948",2074,"2152-2820","Accounting, Economics and Law: A Convivium",1402,"Accounting","Social sciences"
"1949",2075,"2152-2820","Accounting, Economics and Law: A Convivium",2001,"Economics, Econometrics and Finance (miscellaneous)","Social sciences"
"1950",2076,"2152-2820","Accounting, Economics and Law: A Convivium",3308,"Law","Law"
"1951",2079,"2195-7819","Life Sciences, Society and Policy",1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)","Other"
"1952",2080,"2195-7819","Life Sciences, Society and Policy",1211,"Philosophy","Philosophy"
"1953",2081,"2195-7819","Life Sciences, Society and Policy",2308,"Management, Monitoring, Policy and Law","Other"
"1954",2083,"2212-652X","Advancing Global Bioethics",2910,"Issues, Ethics and Legal Aspects","Other"
"1955",2084,"2212-652X","Advancing Global Bioethics",3306,"Health (social science)","Social sciences"
"1956",2085,"2212-652X","Advancing Global Bioethics",2719,"Health Policy","Other"
"1957",2086,"2212-652X","Advancing Global Bioethics",2739,"Public Health, Environmental and Occupational Health","Other"
"1958",2087,"2267-1242","E3S Web of Conferences",2300,"Environmental Science (all)","Other"
"1959",2088,"2267-1242","E3S Web of Conferences",2100,"Energy (all)","Other"
"1960",2089,"2267-1242","E3S Web of Conferences",1900,"Earth and Planetary Sciences (all)","Other"
"1961",2091,"0002-0206","African Studies Review",3316,"Cultural Studies","Social sciences"
"1962",2092,"0002-0206","African Studies Review",3314,"Anthropology","Social sciences"
"1963",2093,"0002-9092","American Journal of Agricultural Economics",1101,"Agricultural and Biological Sciences (miscellaneous)","Other"
"1964",2094,"0002-9092","American Journal of Agricultural Economics",2002,"Economics and Econometrics","Social sciences"
"1965",2095,"0004-0002","Archives of Sexual Behavior",1201,"Arts and Humanities (miscellaneous)","Humanities"
"1966",2096,"0004-0002","Archives of Sexual Behavior",3200,"Psychology (all)","Other"
"1967",2097,"0011-3204","Current Anthropology",1204,"Archeology (arts and humanities)","Humanities"
"1968",2098,"0011-3204","Current Anthropology",3314,"Anthropology","Social sciences"
"1969",2099,"0011-3204","Current Anthropology",3302,"Archeology","Social sciences"
"1970",2100,"0012-8163","Early American Literature",1208,"Literature and Literary Theory","Humanities"
"1971",2101,"0013-2004","Educational Theory",3304,"Education","Social sciences"
"1972",2102,"0021-8863","The Journal of Applied Behavioral Science",3202,"Applied Psychology","Other"
"1973",2103,"0021-9029","Journal of Applied Social Psychology",3207,"Social Psychology","Other"
"1974",2104,"0022-0426","Journal of Drug Issues",3306,"Health (social science)","Social sciences"
"1975",2105,"0022-0426","Journal of Drug Issues",2701,"Medicine (miscellaneous)","Other"
"1976",2106,"0022-0426","Journal of Drug Issues",2739,"Public Health, Environmental and Occupational Health","Other"
"1977",2107,"0022-0426","Journal of Drug Issues",2738,"Psychiatry and Mental Health","Other"
"1978",2108,"0022-0965","Journal of Experimental Child Psychology",3205,"Experimental and Cognitive Psychology","Other"
"1979",2109,"0022-0965","Journal of Experimental Child Psychology",3204,"Developmental and Educational Psychology","Other"
"1980",2110,"0026-749X","Modern Asian Studies",3305,"Geography, Planning and Development","Social sciences"
"1981",2111,"0026-749X","Modern Asian Studies",1202,"History","Humanities"
"1982",2112,"0026-749X","Modern Asian Studies",3312,"Sociology and Political Science","Social sciences"
"1983",2113,"0028-4793","New England Journal of Medicine",2700,"Medicine (all)","Other"
"1984",2114,"0033-5177","Quality and Quantity",2613,"Statistics and Probability","Other"
"1985",2115,"0033-5177","Quality and Quantity",3300,"Social Sciences (all)","Social sciences"
"1986",2116,"0034-3404","Regional Studies",2300,"Environmental Science (all)","Other"
"1987",2117,"0034-3404","Regional Studies",3300,"Social Sciences (all)","Social sciences"
"1988",2118,"0037-7961","Social Service Review",3312,"Sociology and Political Science","Social sciences"
"1989",2119,"0038-0253","Sociological Quarterly",3312,"Sociology and Political Science","Social sciences"
"1990",2122,"0048-7333","Research Policy",1408,"Strategy and Management","Social sciences"
"1991",2123,"0048-7333","Research Policy",1803,"Management Science and Operations Research","Other"
"1992",2124,"0048-7333","Research Policy",1405,"Management of Technology and Innovation","Social sciences"
"1993",2125,"0048-9697","Science of the Total Environment",2305,"Environmental Engineering","Other"
"1994",2126,"0048-9697","Science of the Total Environment",2304,"Environmental Chemistry","Other"
"1995",2127,"0048-9697","Science of the Total Environment",2311,"Waste Management and Disposal","Other"
"1996",2128,"0048-9697","Science of the Total Environment",2310,"Pollution","Other"
"1997",2129,"0091-0562","American Journal of Community Psychology",3306,"Health (social science)","Social sciences"
