...1,id,display_name,publication_year,type,journal,journal_id,doi,citations,first_author,n,group,X.1,X
296,https://openalex.org/W2045876944,The Criminal Law as Last Resort,2004,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/24.2.207,37,Douglas Husak,10,expand1,NA,NA
297,https://openalex.org/W2045298523,How to Say Things with Walls,1980,journal-article,Philosophy,https://openalex.org/V69970347,https://doi.org/10.1017/s0031819100049524,31,Anthony Skillen,10,expand1,NA,NA
298,https://openalex.org/W2042270219,"Justice, Deviance, and the Dark Ghetto",2007,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.2007.00106.x,88,Tommie Shelby,10,expand1,NA,NA
299,https://openalex.org/W2041824782,On a moral right to civil disobedience,2007,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/510694,65,David Lefkowitz,10,expand1,NA,NA
300,https://openalex.org/W2037262533,BankXX: Supporting legal arguments through heuristic retrieval,1996,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1007/bf00123994,74,Edwina L. Rissland,10,expand1,NA,NA
301,https://openalex.org/W2019175520,The Nature of the Judicial Process,1921,book,NA,NA,NA,411,Benjamin N. Cardozo,10,expand1,NA,NA
302,https://openalex.org/W2015589610,Complicity: Ethics and Law for a Collective Age,2000,book,NA,NA,NA,205,Christopher Kutz,10,expand1,NA,NA
303,https://openalex.org/W2014772536,A POSITIVIST ROUTE FOR EXPLAINING HOW FACTS MAKE LAW,2012,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325212000079,13,David Plunkett,10,expand1,NA,NA
304,https://openalex.org/W2009478483,Punishment as Societal-Defense,1996,book,NA,NA,NA,22,Phillip Montague,10,expand1,NA,NA
305,https://openalex.org/W2006559750,An abstract framework for argumentation with structured arguments,2010,journal-article,Argument & Computation,https://openalex.org/V16776775,https://doi.org/10.1080/19462160903564592,545,Henry Prakken,10,expand1,NA,NA
306,https://openalex.org/W2006291010,Criminal culpability: The possibility of a general theory,1993,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf02346478,21,Jeremy Horder,10,expand1,NA,NA
307,https://openalex.org/W1994907864,Legal Realism and Legal Positivism Reconsidered,2001,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/233474,45,Brian Leiter,10,expand1,NA,NA
308,https://openalex.org/W1987468100,Human Interaction and the Law,1969,journal-article,The American Journal of Jurisprudence,https://openalex.org/V2735326605,https://doi.org/10.1093/ajj/14.1.1,106,Lon L. Fuller,10,expand1,NA,NA
309,https://openalex.org/W1984163020,Life's Dominion,1993,book,NA,NA,NA,310,Melissa Lane,10,expand1,NA,NA
310,https://openalex.org/W1981891738,The Mark of Responsibility,2003,journal-article,Oxford Journal of Legal Studies,https://openalex.org/V34110867,https://doi.org/10.1093/ojls/23.2.157,36,John Gardner,10,expand1,NA,NA
311,https://openalex.org/W1979433747,The New Rhetoric,1971,book-chapter,The Prospect of Rhetoric: A Report of the National Developmental Project,NA,https://doi.org/10.1007/978-94-010-1713-8_8,505,Chaïm Perelman,10,expand1,NA,NA
312,https://openalex.org/W1914040667,Justice and Personal Desert,1970,book-chapter,Law and philosophy library,https://openalex.org/V4210184901,https://doi.org/10.1007/978-94-015-9403-5_13,90,Joel Feinberg,10,expand1,NA,NA
313,https://openalex.org/W1899358847,Legitimacy without the Duty to Obey,2010,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.2010.01186.x,46,Arthur Isak Applbaum,10,expand1,NA,NA
314,https://openalex.org/W1604751800,Human dignity in bioethics and biolaw,2002,book,NA,NA,NA,255,Deryck Beyleveld,10,expand1,NA,NA
315,https://openalex.org/W1599403801,The philosophy of the limit,1992,book,NA,NA,NA,240,Drucilla Cornell,10,expand1,NA,NA
316,https://openalex.org/W1580624183,The idea of property in law,1997,book,NA,NA,NA,141,James Penner,10,expand1,NA,NA
317,https://openalex.org/W1577783043,Das Recht der Gesellschaft,1993,book,NA,NA,NA,325,Niklas Luhmann,10,expand1,NA,NA
318,https://openalex.org/W1568392343,In Defense of Legal Positivism: Law without Trimmings,1999,book,NA,NA,NA,50,Matthew H. Kramer,10,expand1,NA,NA
319,https://openalex.org/W1566598272,Teleological arguments and theory-based dialectics,2002,journal-article,Artificial Intelligence and Law,https://openalex.org/V96609033,https://doi.org/10.1023/a:1019589831118,34,Giovanni Sartor,10,expand1,NA,NA
320,https://openalex.org/W1565374903,On crimes and punishments,2021,book,NA,NA,NA,584,Cesare Beccaria,10,expand1,NA,NA
321,https://openalex.org/W1558387730,Speech acts and unspeakable acts,1993,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,NA,252,Rae Langton,10,expand1,NA,NA
322,https://openalex.org/W1547775889,Democratic Equality and Political Authority,2014,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/papa.12036,63,Daniel Viehoff,10,expand1,NA,NA
323,https://openalex.org/W1547717991,Vagueness in Law and Language: Some Philosophical Issues,1994,journal-article,California Law Review,https://openalex.org/V172107878,https://doi.org/10.15779/z38wb2m,50,Jeremy Waldron,10,expand1,NA,NA
324,https://openalex.org/W1546980218,Restorative Justice & Responsive Regulation,2001,book,NA,NA,NA,953,John Braithwaite,10,expand1,NA,NA
325,https://openalex.org/W1541980668,Jurisprudence: Theory and Context,1996,book,NA,NA,NA,71,Brian H. Bix,10,expand1,NA,NA
326,https://openalex.org/W1540711561,On human rights,2008,book,NA,NA,NA,539,James Griffin,10,expand1,NA,NA
327,https://openalex.org/W1540195487,Taking luck seriously,2002,journal-article,The Journal of Philosophy,https://openalex.org/V41650241,https://doi.org/10.2307/3655750,129,Michael J. Zimmerman,10,expand1,NA,NA
328,https://openalex.org/W1539454026,Skepticism about Moral Responsibility,2004,journal-article,Philosophical Perspectives,https://openalex.org/V137804417,https://doi.org/10.1111/j.1520-8583.2004.00030.x,128,Gideon Rosen,10,expand1,NA,NA
329,https://openalex.org/W1528399442,Extending the golden thread? Criminalisation and the presumption of innocence,2013,journal-article,Journal of Political Philosophy,https://openalex.org/V81746323,https://doi.org/10.1111/j.1467-9760.2011.00411.x,17,Patrick Tomlin,10,expand1,NA,NA
330,https://openalex.org/W1528182424,Bounds of Justice,2000,book,NA,NA,NA,326,Onora O'Neill,10,expand1,NA,NA
331,https://openalex.org/W1504314083,IS RISK A HARM,2003,journal-article,University of Pennsylvania Law Review,https://openalex.org/V107914479,https://doi.org/10.2307/3312883,39,Claire Oakes Finkelstein,10,expand1,NA,NA
332,https://openalex.org/W1502108759,Taking the Constitution Away from the Courts,1999,book,NA,NA,NA,308,Mark Tushnet,10,expand1,NA,NA
333,https://openalex.org/W1487979485,Theorie der Grundrechte,1985,book,NA,NA,NA,157,Robert Alexy,10,expand1,NA,NA
334,https://openalex.org/W13079605,The Moral Foundations of Tort Law,1992,book-chapter,NA,NA,https://doi.org/10.4324/9781315194349-8,36,Stephen R. Perry,10,expand1,NA,NA
335,https://openalex.org/W637239229,Appraising Strict Liability,2005,book,NA,NA,https://doi.org/10.1093/acprof:oso/9780199278510.001.0001,32,A. P. Simester,11,expand1,NA,NA
336,https://openalex.org/W629510609,Legal Translation Explained,2014,book,NA,NA,NA,126,Enrique Alcaraz Varó,11,expand1,NA,NA
337,https://openalex.org/W624738686,Theories of rights,1984,book,NA,NA,NA,270,Jeremy Waldron,11,expand1,NA,NA
338,https://openalex.org/W623162224,On the People's Terms: A Republican Theory and Model of Democracy,2012,book,NA,NA,NA,239,Philip Pettit,11,expand1,NA,NA
339,https://openalex.org/W596443701,Objectivity in Law,1996,book,NA,NA,NA,32,Nicos Stavropoulos,11,expand1,NA,NA
340,https://openalex.org/W583713358,The Language of Law,2014,book,NA,NA,NA,54,Andrei Marmor,11,expand1,NA,NA
341,https://openalex.org/W403861043,Criminal Law Defenses,1984,book,NA,NA,NA,45,Paul H. Robinson,11,expand1,NA,NA
342,https://openalex.org/W361624244,Songs without Music: Aesthetic Dimensions of Law and Justice,2000,book,NA,NA,NA,35,Desmond Manderson,11,expand1,NA,NA
343,https://openalex.org/W3197242048,METHODOLOGY IN JURISPRUDENCE: A Critical Survey,2004,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325204040200,32,Julie Dickson,11,expand1,NA,NA
344,https://openalex.org/W3158813253,The moral limits of the criminal Law,1988,journal-article,Revue de métaphysique et de morale,https://openalex.org/V119293249,NA,207,Joel Feinberg,11,expand1,NA,NA
345,https://openalex.org/W3155306005,"Atrocity, Punishment, and International Law: Frontmatter",2007,monograph,NA,NA,https://doi.org/10.1017/cbo9780511611100,282,Mark A. Drumbl,11,expand1,NA,NA
346,https://openalex.org/W3149844274,The Force of Law: Toward a Sociology of the Juridical Field,1987,journal-article,Hastings Law Journal,https://openalex.org/V14279387,NA,734,Pierre Bourdieu,11,expand1,NA,NA
347,https://openalex.org/W3126619754,The anarchist position: A reply to Klosko and Senor,1987,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,NA,22,A. John Simmons,11,expand1,NA,NA
348,https://openalex.org/W3122943504,Criminal Law Defenses: A Systematic Analysis,1982,journal-article,Columbia Law Review,https://openalex.org/V183770981,https://doi.org/10.2307/1122275,49,Paul H. Robinson,11,expand1,NA,NA
349,https://openalex.org/W3023083816,TORTURE AND POSITIVE LAW: JURISPRUDENCE FOR THE WHITE HOUSE,2005,journal-article,Columbia Law Review,https://openalex.org/V183770981,NA,115,Jeremy Waldron,11,expand1,NA,NA
350,https://openalex.org/W3010339820,Remarks on the Theory of Appellate Decision and the Rules or Canons about How Statutes Are to Be Construed,1950,journal-article,Vanderbilt Law Review,https://openalex.org/V120000808,NA,100,Karl N. Llewellyn,11,expand1,NA,NA
351,https://openalex.org/W3001606148,"Force of Law: The ""Mystical Foundation of Authority""",2016,book-chapter,NA,NA,https://doi.org/10.4324/9781315539744-8,220,Drucilla Cornell,11,expand1,NA,NA
352,https://openalex.org/W3000365988,The Argument from Injustice,2003,book,NA,NA,NA,42,Robert Alexy,11,expand1,NA,NA
353,https://openalex.org/W2978527163,Property and Personhood,1982,journal-article,Stanford Law Review,https://openalex.org/V161743634,https://doi.org/10.2307/1228541,291,Margaret Jane Radin,11,expand1,NA,NA
354,https://openalex.org/W2797213284,The Forms and Limits of Adjudication,1978,journal-article,Harvard Law Review,https://openalex.org/V117766065,https://doi.org/10.2307/1340368,485,Lon L. Fuller,11,expand1,NA,NA
355,https://openalex.org/W2566060439,On Civil Disobedience,1961,journal-article,The Journal of Philosophy,https://openalex.org/V41650241,https://doi.org/10.2307/2023542,324,Hugo Adam Bedau,11,expand1,NA,NA
356,https://openalex.org/W2487352873,Contract as promise,1981,book,NA,NA,NA,139,Charles Fried,11,expand1,NA,NA
357,https://openalex.org/W2477834896,Offences and defences,2008,book,NA,NA,NA,31,John Gardner,11,expand1,NA,NA
358,https://openalex.org/W2316915260,"Self-Ownership, Freedom and Equality",1995,monograph,The Philosophical Review,https://openalex.org/V35579339,https://doi.org/10.1017/cbo9780511521270,859,Gerald A. Cohen,11,expand1,NA,NA
359,https://openalex.org/W2306435137,Positivism and Conventionalism,1999,journal-article,The Canadian Journal of Law and Jurisprudence,https://openalex.org/V2764647375,https://doi.org/10.1017/s0841820900002137,37,Leslie Green,11,expand1,NA,NA
360,https://openalex.org/W2245050186,The Case for a Duty to Rescue,1980,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/795987,67,Ernest J. Weinrib,11,expand1,NA,NA
361,https://openalex.org/W2209158330,Coherence in Legal Justification,1984,book-chapter,NA,NA,https://doi.org/10.1007/978-94-009-6481-5_19,56,Neil MacCormick,11,expand1,NA,NA
362,https://openalex.org/W2167596655,War and Self-Defense,1952,book,NA,NA,NA,180,David Rodin,11,expand1,NA,NA
363,https://openalex.org/W2159932289,COERCION AND THE NATURE OF LAW,2001,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325201071026,35,Grant Lamond,11,expand1,NA,NA
364,https://openalex.org/W2140201308,Fundamentals of ethics,1983,book,NA,NA,NA,201,John Finnis,11,expand1,NA,NA
365,https://openalex.org/W2140125709,"Liberalism, Samaritanism, and Political Legitimacy",1996,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.1996.tb00040.x,60,Christopher Heath Wellman,11,expand1,NA,NA
366,https://openalex.org/W2138889939,"Constitutional Rights, Balancing, and Rationality",2003,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/1467-9337.00228,90,Robert Alexy,11,expand1,NA,NA
367,https://openalex.org/W2138293185,Methodology in jurisprudence,2004,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325204040200,18,Julie Dickson,11,expand1,NA,NA
368,https://openalex.org/W2128182013,The Boundaries of the Criminal Law,2011,book,NA,NA,NA,32,R. A. Duff,11,expand1,NA,NA
369,https://openalex.org/W2126625678,"Choice, character, and criminal liability",1993,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/bf01000637,37,R. A. Duff,11,expand1,NA,NA
370,https://openalex.org/W2113169658,"Rules, reasons, arguments : formal studies of argumentation and defeat",1996,NA,NA,NA,NA,121,H.B. Verheij,11,expand1,NA,NA
371,https://openalex.org/W2108588394,Constitutional Law of Canada,1977,book,NA,NA,NA,288,Peter W. Hogg,11,expand1,NA,NA
372,https://openalex.org/W2088131207,Postmodern Jurisprudence: The Law of Text in the Texts of Law,1991,book,NA,NA,NA,57,Costas Douzinas,11,expand1,NA,NA
373,https://openalex.org/W2087567709,Reasoning with cases and hypotheticals in HYPO,1991,journal-article,International Journal of Human-computer Studies / International Journal of Man-machine Studies,https://openalex.org/V129573059,https://doi.org/10.1016/0020-7373(91)90011-u,153,Kevin D. Ashley,11,expand1,NA,NA
374,https://openalex.org/W2071578102,A Right to Do Wrong,1981,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/292295,139,Jeremy Waldron,11,expand1,NA,NA
375,https://openalex.org/W2068144010,The pleadings game: formalizing procedural justice,1993,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/158976.158978,59,Thomas F. Gordon,11,expand1,NA,NA
376,https://openalex.org/W2062287837,Alexy's Thesis of the Necessary Connection between Law and Morality*,2000,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/1467-9337.00145,18,Eugenio Bulygin,11,expand1,NA,NA
377,https://openalex.org/W2051892360,On Hart's Way Out,1998,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325200001117,45,Scott J. Shapiro,11,expand1,NA,NA
378,https://openalex.org/W2045182421,Theory based explanation of case law domains: 38,2001,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/383535.383537,43,Trevor J. M. Bench-Capon,11,expand1,NA,NA
379,https://openalex.org/W2041979514,Hobbes and the social contract tradition,1986,book,NA,NA,NA,367,Jean Hampton,11,expand1,NA,NA
380,https://openalex.org/W2038469269,In Defence of Associative Political Obligations: Part Two,2006,journal-article,Political Studies,https://openalex.org/V90283396,https://doi.org/10.1111/j.1467-9248.2006.00621.x,36,John Horton,11,expand1,NA,NA
381,https://openalex.org/W2034903527,The Varieties of Retributive Experience,2002,journal-article,The Philosophical Quarterly,https://openalex.org/V81959571,https://doi.org/10.1111/1467-9213.00259,60,Christopher Bennett,11,expand1,NA,NA
382,https://openalex.org/W2029896180,Doing and Deserving: Essays in the Theory of Responsibility,1974,book,NA,NA,NA,258,Joel Feinberg,11,expand1,NA,NA
383,https://openalex.org/W2029888259,Of laws in general,1970,book,NA,NA,NA,131,Jeremy Bentham,11,expand1,NA,NA
384,https://openalex.org/W2028501282,Constitutional Democracy: A Paradoxical Union of Contradictory Principles?,2001,journal-article,Political Theory,https://openalex.org/V25369639,https://doi.org/10.1177/0090591701029006002,284,Jürgen Habermas,11,expand1,NA,NA
385,https://openalex.org/W2017462880,"Legal Discourse: Studies in Linguistics, Rhetoric and Legal Analysis",1987,book,NA,NA,NA,100,Peter Goodrich,11,expand1,NA,NA
386,https://openalex.org/W2016893172,Forms and Limits of Utilitarianism,1965,book,NA,NA,NA,198,David Lyons,11,expand1,NA,NA
387,https://openalex.org/W2013396264,Beyond the Sovereign State,1993,journal-article,Modern Law Review,https://openalex.org/V82119083,https://doi.org/10.1111/j.1468-2230.1993.tb02851.x,230,Neil MacCormick,11,expand1,NA,NA
388,https://openalex.org/W2011393428,Ethics and the rule of law,1983,book,NA,NA,NA,71,David Lyons,11,expand1,NA,NA
389,https://openalex.org/W1992765174,"Equality, Responsibility, and the Law",1998,book,NA,NA,NA,75,Arthur Ripstein,11,expand1,NA,NA
390,https://openalex.org/W1987712056,Conflicts of law and morality,1987,book,NA,NA,NA,42,Kent Greenawalt,11,expand1,NA,NA
391,https://openalex.org/W1976898315,What is Legal Pluralism,1986,journal-article,The Journal of Legal Pluralism and Unofficial Law,https://openalex.org/V2764574796,https://doi.org/10.1080/07329113.1986.10756387,939,John Griffiths,11,expand1,NA,NA
392,https://openalex.org/W1972336051,Introduction to the Special Edition,2010,journal-article,Criminal Law and Philosophy,https://openalex.org/V56047584,https://doi.org/10.1007/s11572-010-9099-0,20,Joanna Kyriakakis,11,expand1,NA,NA
393,https://openalex.org/W1608224782,Immanuel Kant: Practical philosophy: The metaphysics of morals (1797),1996,book-chapter,NA,NA,https://doi.org/10.1017/cbo9780511813306.013,121,Immanuel Kant,11,expand1,NA,NA
394,https://openalex.org/W1604566401,Religious Freedom and the Constitution,2007,book,NA,NA,NA,80,Christopher L. Eisgruber,11,expand1,NA,NA
395,https://openalex.org/W1598548519,From Normativity to Responsibility,2012,book,NA,NA,NA,140,Joseph Raz,11,expand1,NA,NA
396,https://openalex.org/W1597362725,Legal Reasoning and Political Conflict,1996,book,NA,NA,NA,250,Cass R. Sunstein,11,expand1,NA,NA
397,https://openalex.org/W1593499730,"""The Law of Peoples: With"" The Idea of Public Reason Revisited,""",2001,journal-article,Philosophy East and West,https://openalex.org/V196911494,https://doi.org/10.1111/j.1933-1592.2002.tb00157.x,599,John Rawls,11,expand1,NA,NA
398,https://openalex.org/W1570210665,Constitutionalism: Philosophical Foundations,2001,book,NA,NA,NA,69,Larry Alexander,11,expand1,NA,NA
399,https://openalex.org/W1550427443,Punishment and Loss of Moral Standing,1991,journal-article,Canadian Journal of Philosophy,https://openalex.org/V41191225,https://doi.org/10.1080/00455091.1991.10717236,33,Christopher W. Morris,11,expand1,NA,NA
400,https://openalex.org/W1542071146,"Questioning Sovereignty: Law, State, and Nation in the European Commonwealth",1999,book,NA,NA,NA,191,Neil MacCormick,11,expand1,NA,NA
401,https://openalex.org/W1533249736,Punishment and Retribution,2006,book,NA,NA,NA,57,Leo Zaibert,11,expand1,NA,NA
402,https://openalex.org/W1504174026,Philosophical Foundations of Criminal Law,2011,book,NA,NA,NA,32,R. A. Duff,11,expand1,NA,NA
403,https://openalex.org/W1499476502,Constitutional Justice: A Liberal Theory of the Rule of Law,2001,book,NA,NA,NA,121,T. R. S. Allan,11,expand1,NA,NA
404,https://openalex.org/W1498667339,Dynamic statutory interpretation,1994,book,NA,NA,NA,131,William N. Eskridge,11,expand1,NA,NA
405,https://openalex.org/W1485844409,Where Law and Morality Meet,2004,book,NA,NA,NA,49,Matthew H. Kramer,11,expand1,NA,NA
406,https://openalex.org/W108069201,Legal Emblems and the Art of Law: Obiter Depicta as the Vision of Governance,2013,book,NA,NA,NA,34,Peter Goodrich,11,expand1,NA,NA
407,https://openalex.org/W107842537,Liberalism without Perfection,2020,book,NA,NA,NA,292,Jonathan Quong,11,expand1,NA,NA
408,https://openalex.org/W622023450,Social Conventions: From Language to Law,2009,book,NA,NA,NA,67,Andrei Marmor,12,expand1,NA,NA
409,https://openalex.org/W614850939,"Crimes, Harms, and Wrongs: On the Principles of Criminalisation",2011,book,NA,NA,NA,43,A. P. Simester,12,expand1,NA,NA
410,https://openalex.org/W594582643,A reader on punishment,1994,book,NA,NA,NA,91,Antony Duff,12,expand1,NA,NA
411,https://openalex.org/W573119041,Is There a Duty to Obey the Law,2005,book,NA,NA,NA,61,Christopher Heath Wellman,12,expand1,NA,NA
412,https://openalex.org/W560017174,Reasoning with rules : an essay on legal reasoning and its underlying logic,1997,journal-article,Studia Logica,https://openalex.org/V30880287,NA,116,Jaap Hage,12,expand1,NA,NA
413,https://openalex.org/W3216089140,Natural Law in Jurisprudence and Politics: Acknowledgments,2006,monograph,NA,NA,https://doi.org/10.1017/cbo9780511663772,64,Mark C. Murphy,12,expand1,NA,NA
414,https://openalex.org/W3148333308,The Common Law Tradition: Deciding Appeals,1961,journal-article,University of Chicago Law Review,https://openalex.org/V21339052,https://doi.org/10.2307/1598710,167,Walter V. Schaefer,12,expand1,NA,NA
415,https://openalex.org/W3132240862,Oxford Essays in Jurisprudence,1961,journal-article,Columbia Law Review,https://openalex.org/V183770981,https://doi.org/10.2307/1119926,146,Charles Fried,12,expand1,NA,NA
416,https://openalex.org/W3129720504,In defense of a Hobbesian conception of law,1980,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,NA,37,Robert Ladenson,12,expand1,NA,NA
417,https://openalex.org/W3123985220,What is Tort Law For? Part 1. The Place of Corrective Justice,2011,journal-article,Law and Philosophy,https://openalex.org/V153292947,https://doi.org/10.1007/s10982-010-9086-6,43,John Gardner,12,expand1,NA,NA
418,https://openalex.org/W3121531415,Punishment and Justification,2008,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/527424,38,Mitchell N. Berman,12,expand1,NA,NA
419,https://openalex.org/W2966640954,The Structure of Blackstone's Commentaries,1979,journal-article,Buffalo Law Review,https://openalex.org/V32111612,NA,144,Duncan Kennedy,12,expand1,NA,NA
420,https://openalex.org/W2931661505,Facing Up: A Reply,1989,NA,NA,NA,NA,35,Joseph Raz,12,expand1,NA,NA
421,https://openalex.org/W2889796974,The Player and the Cards: Nihilism and Legal Theory,1984,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/796315,91,Joseph William Singer,12,expand1,NA,NA
422,https://openalex.org/W2801226138,Some Realism about Realism— Responding to Dean Pound,1931,book-chapter,Harvard Law Review,https://openalex.org/V117766065,https://doi.org/10.4324/9781315135069-9,116,Karl N. Llewellyn,12,expand1,NA,NA
423,https://openalex.org/W2796431936,The Interpretive Turn in Modern Theory: A Turn for the Worse?,1989,journal-article,Stanford Law Review,https://openalex.org/V161743634,https://doi.org/10.2307/1228741,36,Michael S. Moore,12,expand1,NA,NA
424,https://openalex.org/W2767735812,The Historic Background of Corporate Legal Personality,1926,journal-article,Yale Law Journal,https://openalex.org/V161895660,https://doi.org/10.2307/788782,170,John Dewey,12,expand1,NA,NA
425,https://openalex.org/W2499875828,Playing by the Rules,2015,journal-article,Journal of Family Issues,https://openalex.org/V82455696,https://doi.org/10.1177/0192513x15613822,170,Nicole Martins,12,expand1,NA,NA
426,https://openalex.org/W2479324209,Justice Beyond Borders,2005,monograph,NA,NA,https://doi.org/10.1093/019829350x.001.0001,607,Simon Caney,12,expand1,NA,NA
427,https://openalex.org/W2320528271,Justice as Fairness,1985,book,NA,NA,NA,1073,John Rawls,12,expand1,NA,NA
428,https://openalex.org/W2226373706,The Concept of Law Revisited,1996,journal-article,Michigan Law Review,https://openalex.org/V69429964,https://doi.org/10.2307/1289966,47,Leslie Green,12,expand1,NA,NA
429,https://openalex.org/W2142954222,DO PRECEDENTS CREATE RULES,2005,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325205050019,41,Grant Lamond,12,expand1,NA,NA
430,https://openalex.org/W2136970245,"Law, plans and practical reason",2002,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s135232520208401xh,41,Scott J. Shapiro,12,expand1,NA,NA
431,https://openalex.org/W2134761332,On the Thesis of a Necessary Connection between Law and Morality: Bulygin's Critique,2000,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/1467-9337.00146,31,Robert Alexy,12,expand1,NA,NA
432,https://openalex.org/W2113581002,Making Men Moral: Civil Liberties And Public Morality,1995,monograph,The journal of law and religion,https://openalex.org/V2764945322,https://doi.org/10.1093/acprof:oso/9780198260240.001.0001,108,Robert P. George,12,expand1,NA,NA
433,https://openalex.org/W2094636508,Discourse Theory and Human Rights,1996,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.1996.tb00241.x,36,Robert Alexy,12,expand1,NA,NA
434,https://openalex.org/W2092981632,Law and Revolution: The Formation of the Western Legal Tradition,1984,journal-article,The journal of law and religion,https://openalex.org/V2764945322,https://doi.org/10.2307/1051040,744,James Ross Sweeney,12,expand1,NA,NA
435,https://openalex.org/W2088290642,Harm and culpability,1996,book,University of Toronto Law Journal,https://openalex.org/V62734853,https://doi.org/10.1093/acprof:oso/9780198260578.001.0001,36,A. P. Simester,12,expand1,NA,NA
436,https://openalex.org/W2067074281,Authority and Reasons: Exclusionary and Second‐Personal*,2010,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/651427,46,Stephen Darwall,12,expand1,NA,NA
437,https://openalex.org/W2050497363,Elements of a Theory of Human Rights,2004,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.2004.00017.x,680,Amartya Sen,12,expand1,NA,NA
438,https://openalex.org/W2042727912,"LEGITIMACY, DEMOCRACY, AND RAZIAN AUTHORITY",2003,journal-article,Legal Theory,https://openalex.org/V139242520,https://doi.org/10.1017/s1352325203000090,39,Scott Hershovitz,12,expand1,NA,NA
439,https://openalex.org/W2041009095,The Idea of a Legitimate State,1999,journal-article,Philosophy & Public Affairs,https://openalex.org/V15279844,https://doi.org/10.1111/j.1088-4963.1999.00003.x,122,David Copp,12,expand1,NA,NA
440,https://openalex.org/W2040210902,A Theory of Negligence,1972,journal-article,The Journal of Legal Studies,https://openalex.org/V9231424,https://doi.org/10.1086/467478,262,Richard A. Posner,12,expand1,NA,NA
441,https://openalex.org/W2038608783,Restitution: A New Paradigm of Criminal Justice,1977,journal-article,Ethics,https://openalex.org/V184849641,https://doi.org/10.1086/292043,168,Randy E. Barnett,12,expand1,NA,NA
442,https://openalex.org/W2009896285,Was Austin Right After All? On the Role of Sanctions in a Theory of Law,2010,journal-article,Ratio Juris,https://openalex.org/V183135890,https://doi.org/10.1111/j.1467-9337.2009.00441.x,34,Frederick Schauer,12,expand1,NA,NA
443,https://openalex.org/W2009122572,Interpreting Statutes: A Comparative Study,1991,book,NA,NA,NA,108,D. Neil MacCormick,12,expand1,NA,NA
444,https://openalex.org/W2008085691,Feminism Unmodified: Discourses on Life and Law,1987,book,NA,NA,NA,883,Catharine A. MacKinnon,12,expand1,NA,NA
445,https://openalex.org/W1995770214,Predicting outcomes of case based legal arguments,2003,proceedings-article,international conference on artificial intelligence and law,NA,https://doi.org/10.1145/1047788.1047838,92,Stefanie Brüninghaus,12,expand1,NA,NA
446,https://openalex.org/W198849153,Voluntary Obligations and Normative Powers,1972,journal-article,Aristotelian Society Supplementary Volume,https://openalex.org/V194395252,https://doi.org/10.1093/aristoteliansupp/46.1.59,92,Neil MacCormick,12,expand1,NA,NA
447,https://openalex.org/W1986778800,Equality and equal opportunity for welfare,1989,journal-article,Philosophical Studies,https://openalex.org/V147022693,https://doi.org/10.1007/bf00646210,1069,Richard J. Arneson,12,expand1,NA,NA
